model,feature,importance,feature_type
Random Forest,Morgan_bit_209,0.00022066926322889685,Morgan fingerprint
Random Forest,Morgan_bit_210,0.00015098530095656495,Morgan fingerprint
Random Forest,Morgan_bit_211,0.0004120583085593657,Morgan fingerprint
Random Forest,Morgan_bit_212,3.76243868439003e-05,Morgan fingerprint
Random Forest,Morgan_bit_213,0.00017979838280114552,Morgan fingerprint
Random Forest,Morgan_bit_214,0.0001515857729098699,Morgan fingerprint
Random Forest,Morgan_bit_215,0.0002538362875632099,Morgan fingerprint
Random Forest,Morgan_bit_216,0.0009963139258886747,Morgan fingerprint
Random Forest,Morgan_bit_217,4.977071714047593e-05,Morgan fingerprint
Random Forest,Morgan_bit_218,0.0002624678908111589,Morgan fingerprint
Random Forest,Morgan_bit_219,9.142516457647751e-05,Morgan fingerprint
Random Forest,Morgan_bit_220,0.00012905414038143304,Morgan fingerprint
Random Forest,Morgan_bit_221,0.0005622237140705197,Morgan fingerprint
Random Forest,Morgan_bit_222,0.0014599322862947552,Morgan fingerprint
Random Forest,Morgan_bit_223,0.00013182410211133995,Morgan fingerprint
Random Forest,Morgan_bit_224,0.00015094699554435564,Morgan fingerprint
Random Forest,Morgan_bit_225,9.596374547568971e-05,Morgan fingerprint
Random Forest,Morgan_bit_226,0.00029852522506466526,Morgan fingerprint
Random Forest,Morgan_bit_227,0.0019161626005140217,Morgan fingerprint
Random Forest,Morgan_bit_228,0.00019814932541002141,Morgan fingerprint
Random Forest,Morgan_bit_229,0.00040118743342612627,Morgan fingerprint
Random Forest,Morgan_bit_230,0.0001461652550754138,Morgan fingerprint
Random Forest,Morgan_bit_231,0.0012621383837018419,Morgan fingerprint
Random Forest,Morgan_bit_232,8.331601296850149e-05,Morgan fingerprint
Random Forest,Morgan_bit_233,0.0029636678024947787,Morgan fingerprint
Random Forest,Morgan_bit_234,0.00012192279325396446,Morgan fingerprint
Random Forest,Morgan_bit_235,0.00021484650113702091,Morgan fingerprint
Random Forest,Morgan_bit_236,0.0001576435124118337,Morgan fingerprint
Random Forest,Morgan_bit_237,0.0005071857975115446,Morgan fingerprint
